week_start,store_id,location,region,channel,category,units_sold,unit_price,unit_cost,overhead_allocated
2024-01-01,S01,"Monterey, CA",Central Coast,In-Store,Consoles,10,401.5,321.82,480.0
2024-01-01,S01,"Monterey, CA",Central Coast,In-Store,Video Games,35,61.09,38.55,480.0
2024-01-01,S01,"Monterey, CA",Central Coast,In-Store,Accessories,40,17.91,9.77,480.0
2024-01-01,S01,"Monterey, CA",Central Coast,In-Store,Collectibles,12,34.3,16.47,480.0
2024-01-01,S01,"Monterey, CA",Central Coast,In-Store,Trade-Ins/Used Games,18,13.97,4.96,480.0
2024-01-01,S02,"Salinas, CA",Central Coast,In-Store,Consoles,10,421.04,348.33,420.0
2024-01-01,S02,"Salinas, CA",Central Coast,In-Store,Video Games,48,39.19,25.04,420.0
2024-01-01,S02,"Salinas, CA",Central Coast,In-Store,Accessories,37,29.31,15.57,420.0
2024-01-01,S02,"Salinas, CA",Central Coast,In-Store,Collectibles,21,42.56,19.6,420.0
2024-01-01,S02,"Salinas, CA",Central Coast,In-Store,Trade-Ins/Used Games,18,30.19,10.68,420.0
2024-01-01,S03,"Santa Cruz, CA",Central Coast,In-Store,Consoles,11,471.97,388.42,440.0
2024-01-01,S03,"Santa Cruz, CA",Central Coast,In-Store,Video Games,52,50.36,31.39,440.0
2024-01-01,S03,"Santa Cruz, CA",Central Coast,In-Store,Accessories,39,41.83,23.84,440.0
2024-01-01,S03,"Santa Cruz, CA",Central Coast,In-Store,Collectibles,17,68.32,31.3,440.0
2024-01-01,S03,"Santa Cruz, CA",Central Coast,In-Store,Trade-Ins/Used Games,20,16.23,5.44,440.0
2024-01-01,S04,"San Jose, CA",Bay Area,In-Store,Consoles,8,409.1,328.01,620.0
2024-01-01,S04,"San Jose, CA",Bay Area,In-Store,Video Games,44,49.94,30.56,620.0
2024-01-01,S04,"San Jose, CA",Bay Area,In-Store,Accessories,28,26.01,14.93,620.0
2024-01-01,S04,"San Jose, CA",Bay Area,In-Store,Collectibles,18,61.64,28.61,620.0
2024-01-01,S04,"San Jose, CA",Bay Area,In-Store,Trade-Ins/Used Games,26,13.09,4.53,620.0
2024-01-01,S05,"Sacramento, CA",Central Valley,In-Store,Consoles,12,463.0,381.82,520.0
2024-01-01,S05,"Sacramento, CA",Central Valley,In-Store,Video Games,45,64.29,40.96,520.0
2024-01-01,S05,"Sacramento, CA",Central Valley,In-Store,Accessories,28,15.44,8.34,520.0
2024-01-01,S05,"Sacramento, CA",Central Valley,In-Store,Collectibles,14,33.77,16.93,520.0
2024-01-01,S05,"Sacramento, CA",Central Valley,In-Store,Trade-Ins/Used Games,28,16.87,6.0,520.0
2024-01-01,S06,"Fresno, CA",Central Valley,In-Store,Consoles,9,490.45,400.51,460.0
2024-01-01,S06,"Fresno, CA",Central Valley,In-Store,Video Games,36,46.4,28.94,460.0
2024-01-01,S06,"Fresno, CA",Central Valley,In-Store,Accessories,29,40.31,23.05,460.0
2024-01-01,S06,"Fresno, CA",Central Valley,In-Store,Collectibles,16,34.35,17.31,460.0
2024-01-01,S06,"Fresno, CA",Central Valley,In-Store,Trade-Ins/Used Games,24,11.27,3.77,460.0
2024-01-01,S00,QuickCart Online,National,Online,Consoles,19,461.74,389.69,180.0
2024-01-01,S00,QuickCart Online,National,Online,Video Games,103,40.91,25.06,180.0
2024-01-01,S00,QuickCart Online,National,Online,Accessories,109,37.81,21.78,180.0
2024-01-01,S00,QuickCart Online,National,Online,Collectibles,51,19.8,9.71,180.0
2024-01-01,S00,QuickCart Online,National,Online,Trade-Ins/Used Games,67,22.42,7.66,180.0
2024-01-08,S01,"Monterey, CA",Central Coast,In-Store,Consoles,10,410.16,334.14,480.0
2024-01-08,S01,"Monterey, CA",Central Coast,In-Store,Video Games,40,67.61,43.49,480.0
2024-01-08,S01,"Monterey, CA",Central Coast,In-Store,Accessories,29,36.53,19.45,480.0
2024-01-08,S01,"Monterey, CA",Central Coast,In-Store,Collectibles,20,79.94,37.6,480.0
2024-01-08,S01,"Monterey, CA",Central Coast,In-Store,Trade-Ins/Used Games,25,24.22,8.18,480.0
2024-01-08,S02,"Salinas, CA",Central Coast,In-Store,Consoles,11,452.94,381.76,420.0
2024-01-08,S02,"Salinas, CA",Central Coast,In-Store,Video Games,42,39.02,23.77,420.0
2024-01-08,S02,"Salinas, CA",Central Coast,In-Store,Accessories,24,55.81,31.86,420.0
2024-01-08,S02,"Salinas, CA",Central Coast,In-Store,Collectibles,19,40.53,18.59,420.0
2024-01-08,S02,"Salinas, CA",Central Coast,In-Store,Trade-Ins/Used Games,28,32.67,10.96,420.0
2024-01-08,S03,"Santa Cruz, CA",Central Coast,In-Store,Consoles,9,405.92,341.53,440.0
2024-01-08,S03,"Santa Cruz, CA",Central Coast,In-Store,Video Games,47,42.85,26.5,440.0
2024-01-08,S03,"Santa Cruz, CA",Central Coast,In-Store,Accessories,34,25.93,14.79,440.0
2024-01-08,S03,"Santa Cruz, CA",Central Coast,In-Store,Collectibles,16,33.83,16.3,440.0
2024-01-08,S03,"Santa Cruz, CA",Central Coast,In-Store,Trade-Ins/Used Games,26,14.03,4.82,440.0
2024-01-08,S04,"San Jose, CA",Bay Area,In-Store,Consoles,12,463.99,378.12,620.0
2024-01-08,S04,"San Jose, CA",Bay Area,In-Store,Video Games,42,42.63,25.7,620.0
2024-01-08,S04,"San Jose, CA",Bay Area,In-Store,Accessories,30,40.47,21.66,620.0
2024-01-08,S04,"San Jose, CA",Bay Area,In-Store,Collectibles,14,23.97,11.66,620.0
2024-01-08,S04,"San Jose, CA",Bay Area,In-Store,Trade-Ins/Used Games,20,31.64,11.47,620.0
2024-01-08,S05,"Sacramento, CA",Central Valley,In-Store,Consoles,7,422.8,352.55,520.0
2024-01-08,S05,"Sacramento, CA",Central Valley,In-Store,Video Games,35,42.97,27.8,520.0
2024-01-08,S05,"Sacramento, CA",Central Valley,In-Store,Accessories,34,35.27,19.95,520.0
2024-01-08,S05,"Sacramento, CA",Central Valley,In-Store,Collectibles,19,32.33,14.89,520.0
2024-01-08,S05,"Sacramento, CA",Central Valley,In-Store,Trade-Ins/Used Games,23,19.59,6.83,520.0
2024-01-08,S06,"Fresno, CA",Central Valley,In-Store,Consoles,11,466.34,400.91,460.0
2024-01-08,S06,"Fresno, CA",Central Valley,In-Store,Video Games,32,51.08,31.16,460.0
2024-01-08,S06,"Fresno, CA",Central Valley,In-Store,Accessories,39,25.19,13.43,460.0
2024-01-08,S06,"Fresno, CA",Central Valley,In-Store,Collectibles,16,48.53,22.78,460.0
2024-01-08,S06,"Fresno, CA",Central Valley,In-Store,Trade-Ins/Used Games,20,32.08,11.16,460.0
2024-01-08,S00,QuickCart Online,National,Online,Consoles,29,454.03,355.57,180.0
2024-01-08,S00,QuickCart Online,National,Online,Video Games,136,64.08,41.59,180.0
2024-01-08,S00,QuickCart Online,National,Online,Accessories,105,52.19,27.75,180.0
2024-01-08,S00,QuickCart Online,National,Online,Collectibles,43,33.96,16.14,180.0
2024-01-08,S00,QuickCart Online,National,Online,Trade-Ins/Used Games,47,18.47,6.78,180.0
2024-01-15,S01,"Monterey, CA",Central Coast,In-Store,Consoles,7,477.41,389.71,480.0
2024-01-15,S01,"Monterey, CA",Central Coast,In-Store,Video Games,34,67.72,44.07,480.0
2024-01-15,S01,"Monterey, CA",Central Coast,In-Store,Accessories,30,46.33,24.6,480.0
2024-01-15,S01,"Monterey, CA",Central Coast,In-Store,Collectibles,13,86.81,42.0,480.0
2024-01-15,S01,"Monterey, CA",Central Coast,In-Store,Trade-Ins/Used Games,21,27.7,9.27,480.0
2024-01-15,S02,"Salinas, CA",Central Coast,In-Store,Consoles,9,449.29,381.41,420.0
2024-01-15,S02,"Salinas, CA",Central Coast,In-Store,Video Games,29,67.82,40.28,420.0
2024-01-15,S02,"Salinas, CA",Central Coast,In-Store,Accessories,24,40.78,22.82,420.0
2024-01-15,S02,"Salinas, CA",Central Coast,In-Store,Collectibles,12,27.39,13.66,420.0
2024-01-15,S02,"Salinas, CA",Central Coast,In-Store,Trade-Ins/Used Games,18,23.86,8.45,420.0
2024-01-15,S03,"Santa Cruz, CA",Central Coast,In-Store,Consoles,8,457.37,375.9,440.0
2024-01-15,S03,"Santa Cruz, CA",Central Coast,In-Store,Video Games,44,45.13,28.59,440.0
2024-01-15,S03,"Santa Cruz, CA",Central Coast,In-Store,Accessories,25,31.81,17.8,440.0
2024-01-15,S03,"Santa Cruz, CA",Central Coast,In-Store,Collectibles,13,41.13,20.24,440.0
2024-01-15,S03,"Santa Cruz, CA",Central Coast,In-Store,Trade-Ins/Used Games,16,20.46,7.52,440.0
2024-01-15,S04,"San Jose, CA",Bay Area,In-Store,Consoles,10,406.33,323.63,620.0
2024-01-15,S04,"San Jose, CA",Bay Area,In-Store,Video Games,31,67.0,43.12,620.0
2024-01-15,S04,"San Jose, CA",Bay Area,In-Store,Accessories,35,30.63,16.27,620.0
2024-01-15,S04,"San Jose, CA",Bay Area,In-Store,Collectibles,17,68.25,33.13,620.0
2024-01-15,S04,"San Jose, CA",Bay Area,In-Store,Trade-Ins/Used Games,26,25.35,8.44,620.0
2024-01-15,S05,"Sacramento, CA",Central Valley,In-Store,Consoles,10,428.94,357.48,520.0
2024-01-15,S05,"Sacramento, CA",Central Valley,In-Store,Video Games,44,43.03,25.65,520.0
2024-01-15,S05,"Sacramento, CA",Central Valley,In-Store,Accessories,23,38.9,20.91,520.0
2024-01-15,S05,"Sacramento, CA",Central Valley,In-Store,Collectibles,15,69.23,32.25,520.0
2024-01-15,S05,"Sacramento, CA",Central Valley,In-Store,Trade-Ins/Used Games,22,15.6,5.45,520.0
2024-01-15,S06,"Fresno, CA",Central Valley,In-Store,Consoles,10,483.61,380.39,460.0
2024-01-15,S06,"Fresno, CA",Central Valley,In-Store,Video Games,34,47.3,27.87,460.0
2024-01-15,S06,"Fresno, CA",Central Valley,In-Store,Accessories,33,42.67,22.91,460.0
2024-01-15,S06,"Fresno, CA",Central Valley,In-Store,Collectibles,16,57.62,27.46,460.0
2024-01-15,S06,"Fresno, CA",Central Valley,In-Store,Trade-Ins/Used Games,15,10.88,3.95,460.0
2024-01-15,S00,QuickCart Online,National,Online,Consoles,26,453.56,384.36,180.0
2024-01-15,S00,QuickCart Online,National,Online,Video Games,97,43.44,25.93,180.0
2024-01-15,S00,QuickCart Online,National,Online,Accessories,67,54.45,30.83,180.0
2024-01-15,S00,QuickCart Online,National,Online,Collectibles,45,81.92,38.18,180.0
2024-01-15,S00,QuickCart Online,National,Online,Trade-Ins/Used Games,46,11.57,4.16,180.0
2024-01-22,S01,"Monterey, CA",Central Coast,In-Store,Consoles,10,439.64,364.85,480.0
2024-01-22,S01,"Monterey, CA",Central Coast,In-Store,Video Games,29,66.9,42.99,480.0
2024-01-22,S01,"Monterey, CA",Central Coast,In-Store,Accessories,36,50.48,28.82,480.0
2024-01-22,S01,"Monterey, CA",Central Coast,In-Store,Collectibles,11,70.56,33.3,480.0
2024-01-22,S01,"Monterey, CA",Central Coast,In-Store,Trade-Ins/Used Games,25,29.06,10.54,480.0
2024-01-22,S02,"Salinas, CA",Central Coast,In-Store,Consoles,10,425.68,359.09,420.0
2024-01-22,S02,"Salinas, CA",Central Coast,In-Store,Video Games,28,65.17,41.85,420.0
2024-01-22,S02,"Salinas, CA",Central Coast,In-Store,Accessories,24,50.75,27.8,420.0
2024-01-22,S02,"Salinas, CA",Central Coast,In-Store,Collectibles,13,74.67,34.87,420.0
2024-01-22,S02,"Salinas, CA",Central Coast,In-Store,Trade-Ins/Used Games,15,13.83,4.76,420.0
2024-01-22,S03,"Santa Cruz, CA",Central Coast,In-Store,Consoles,10,495.69,397.49,440.0
2024-01-22,S03,"Santa Cruz, CA",Central Coast,In-Store,Video Games,39,50.99,33.13,440.0
2024-01-22,S03,"Santa Cruz, CA",Central Coast,In-Store,Accessories,29,56.27,29.76,440.0
2024-01-22,S03,"Santa Cruz, CA",Central Coast,In-Store,Collectibles,18,31.5,15.82,440.0
2024-01-22,S03,"Santa Cruz, CA",Central Coast,In-Store,Trade-Ins/Used Games,18,11.71,4.07,440.0
2024-01-22,S04,"San Jose, CA",Bay Area,In-Store,Consoles,9,430.37,356.65,620.0
2024-01-22,S04,"San Jose, CA",Bay Area,In-Store,Video Games,36,50.56,31.59,620.0
2024-01-22,S04,"San Jose, CA",Bay Area,In-Store,Accessories,25,45.9,23.99,620.0
2024-01-22,S04,"San Jose, CA",Bay Area,In-Store,Collectibles,18,56.69,27.81,620.0
2024-01-22,S04,"San Jose, CA",Bay Area,In-Store,Trade-Ins/Used Games,23,25.77,8.9,620.0
2024-01-22,S05,"Sacramento, CA",Central Valley,In-Store,Consoles,6,465.42,375.16,520.0
2024-01-22,S05,"Sacramento, CA",Central Valley,In-Store,Video Games,32,64.44,40.83,520.0
2024-01-22,S05,"Sacramento, CA",Central Valley,In-Store,Accessories,26,27.92,15.22,520.0
2024-01-22,S05,"Sacramento, CA",Central Valley,In-Store,Collectibles,14,39.7,18.35,520.0
2024-01-22,S05,"Sacramento, CA",Central Valley,In-Store,Trade-Ins/Used Games,20,32.51,11.58,520.0
2024-01-22,S06,"Fresno, CA",Central Valley,In-Store,Consoles,10,460.55,370.13,460.0
2024-01-22,S06,"Fresno, CA",Central Valley,In-Store,Video Games,37,39.01,23.67,460.0
2024-01-22,S06,"Fresno, CA",Central Valley,In-Store,Accessories,28,40.1,22.4,460.0
2024-01-22,S06,"Fresno, CA",Central Valley,In-Store,Collectibles,14,49.95,23.29,460.0
2024-01-22,S06,"Fresno, CA",Central Valley,In-Store,Trade-Ins/Used Games,20,31.53,11.36,460.0
2024-01-22,S00,QuickCart Online,National,Online,Consoles,18,407.48,334.65,180.0
2024-01-22,S00,QuickCart Online,National,Online,Video Games,100,49.06,31.39,180.0
2024-01-22,S00,QuickCart Online,National,Online,Accessories,85,44.28,23.68,180.0
2024-01-22,S00,QuickCart Online,National,Online,Collectibles,31,20.71,9.69,180.0
2024-01-22,S00,QuickCart Online,National,Online,Trade-Ins/Used Games,53,30.24,10.13,180.0
2024-01-29,S01,"Monterey, CA",Central Coast,In-Store,Consoles,8,461.98,367.25,480.0
